success,rt,trial_type,trial_index,plugin_version,time_elapsed,random_id,participant,stimulus,response,Category,Concept,T1,T2,CorrectAnswer,correct,reflection1,reflection2,file_name
NA,3237,html-keyboard-response,10,2.0.0,38439,p03mqyeeyqu,seal,<b><font size=6>Shadows contain all colors of light.</font></b>,z,Waves,Light,FALSE,FALSE,FALSE,FALSE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,2881,html-keyboard-response,11,2.0.0,41822,p03mqyeeyqu,seal,<b><font size=6>Red objects absorb red light.</font></b>,z,Waves,Color,TRUE,FALSE,FALSE,FALSE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,2898,html-keyboard-response,12,2.0.0,45222,p03mqyeeyqu,seal,<b><font size=6>Sounds can be direct or reflected.</font></b>,z,Waves,Sound,FALSE,TRUE,TRUE,TRUE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,1355,html-keyboard-response,13,2.0.0,47078,p03mqyeeyqu,seal,<b><font size=6>Sounds can be loud or quiet.</font></b>,z,Waves,Sound,TRUE,TRUE,TRUE,TRUE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,2083,html-keyboard-response,14,2.0.0,49662,p03mqyeeyqu,seal,<b><font size=6>Red objects reflect red light.</font></b>,z,Waves,Color,TRUE,TRUE,TRUE,TRUE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,2668,html-keyboard-response,15,2.0.0,52832,p03mqyeeyqu,seal,<b><font size=6>Sound travels through a vacuum.</font></b>,m,Waves,Propagation,TRUE,FALSE,FALSE,TRUE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,1116,html-keyboard-response,16,2.0.0,54450,p03mqyeeyqu,seal,<b><font size=6>Sound travels through air.</font></b>,z,Waves,Propagation,TRUE,TRUE,TRUE,TRUE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,3025,html-keyboard-response,17,2.0.0,57976,p03mqyeeyqu,seal,<b><font size=6>Foam reflects sound.</font></b>,z,Waves,Reflection,FALSE,FALSE,FALSE,FALSE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,2599,html-keyboard-response,18,2.0.0,61077,p03mqyeeyqu,seal,<b><font size=6>White light contains all colors of light.</font></b>,z,Waves,Light,FALSE,TRUE,TRUE,TRUE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,5096,html-keyboard-response,19,2.0.0,66675,p03mqyeeyqu,seal,<b><font size=6>Red objects absorb blue light.</font></b>,m,Waves,Color,FALSE,TRUE,TRUE,FALSE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,1666,html-keyboard-response,20,2.0.0,68843,p03mqyeeyqu,seal,<b><font size=6>Red objects reflect blue light.</font></b>,m,Waves,Color,FALSE,FALSE,FALSE,TRUE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,1073,html-keyboard-response,21,2.0.0,70416,p03mqyeeyqu,seal,<b><font size=6>Mirrors reflect light.</font></b>,z,Waves,Reflection,TRUE,TRUE,TRUE,TRUE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,1290,html-keyboard-response,22,2.0.0,72208,p03mqyeeyqu,seal,<b><font size=6>Black objects reflect all colors of light.</font></b>,z,Waves,Light,TRUE,FALSE,FALSE,FALSE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,1524,html-keyboard-response,23,2.0.0,74234,p03mqyeeyqu,seal,<b><font size=6>Sound travels through foam.</font></b>,z,Waves,Propagation,FALSE,FALSE,FALSE,FALSE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,1478,html-keyboard-response,24,2.0.0,76213,p03mqyeeyqu,seal,<b><font size=6>Prisms reflect light.</font></b>,z,Waves,Reflection,TRUE,FALSE,FALSE,FALSE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,7121,html-keyboard-response,25,2.0.0,83835,p03mqyeeyqu,seal,<b><font size=6>Rainbows contain all colors of light.</font></b>,z,Waves,Light,TRUE,TRUE,TRUE,TRUE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,NA,html-keyboard-response,26,2.0.0,86039,p03mqyeeyqu,seal,<p><font-size=6>All the following statements are in category:</font></p><b><font size=10><font color=blue>Thermodynamics</font></b>,null,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,2092,html-keyboard-response,27,2.0.0,88632,p03mqyeeyqu,seal,<b><font size=6>Gravity has heat.</font></b>,z,Thermodynamics,Heat,FALSE,FALSE,FALSE,FALSE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,1621,html-keyboard-response,28,2.0.0,90755,p03mqyeeyqu,seal,<b><font size=6>Cold objects transfer heat to warm objects.</font></b>,z,Thermodynamics,Heat transfer,FALSE,FALSE,FALSE,FALSE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,3313,html-keyboard-response,29,2.0.0,94570,p03mqyeeyqu,seal,<b><font size=6>Boiling water has a lower temperature than steam.</font></b>,z,Thermodynamics,Temperature,FALSE,TRUE,TRUE,TRUE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,1679,html-keyboard-response,30,2.0.0,96750,p03mqyeeyqu,seal,<b><font size=6>Water transfers heat to steam.</font></b>,z,Thermodynamics,Heat transfer,TRUE,FALSE,FALSE,FALSE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,2436,html-keyboard-response,31,2.0.0,99688,p03mqyeeyqu,seal,<b><font size=6>Ice has a lower temperature than water.</font></b>,z,Thermodynamics,Temperature,TRUE,TRUE,TRUE,TRUE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,2968,html-keyboard-response,32,2.0.0,103158,p03mqyeeyqu,seal,<b><font size=6>Steam has a lower temperature than ice.</font></b>,m,Thermodynamics,Temperature,FALSE,FALSE,FALSE,TRUE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,1133,html-keyboard-response,33,2.0.0,104793,p03mqyeeyqu,seal,<b><font size=6>The sun has heat.</font></b>,z,Thermodynamics,Heat,TRUE,TRUE,TRUE,TRUE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,1156,html-keyboard-response,34,2.0.0,106451,p03mqyeeyqu,seal,<b><font size=6>Ovens produce heat.</font></b>,z,Thermodynamics,Heat source,TRUE,TRUE,TRUE,TRUE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,1132,html-keyboard-response,35,2.0.0,108084,p03mqyeeyqu,seal,<b><font size=6>Coats produce heat.</font></b>,z,Thermodynamics,Heat source,TRUE,FALSE,FALSE,FALSE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,3887,html-keyboard-response,36,2.0.0,112472,p03mqyeeyqu,seal,<b><font size=6>Heat increases an object's weight.</font></b>,z,Thermodynamics,Thermal expansion,TRUE,FALSE,FALSE,FALSE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,1855,html-keyboard-response,37,2.0.0,114829,p03mqyeeyqu,seal,<b><font size=6>Heat increases an object's color.</font></b>,z,Thermodynamics,Thermal expansion,FALSE,FALSE,FALSE,FALSE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,3184,html-keyboard-response,38,2.0.0,118514,p03mqyeeyqu,seal,<b><font size=6>Ice has heat.</font></b>,m,Thermodynamics,Heat,FALSE,TRUE,TRUE,FALSE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,2413,html-keyboard-response,39,2.0.0,121429,p03mqyeeyqu,seal,<b><font size=6>Heat increases an object's size.</font></b>,z,Thermodynamics,Thermal expansion,FALSE,TRUE,TRUE,TRUE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,12289,html-keyboard-response,40,2.0.0,134221,p03mqyeeyqu,seal,<b><font size=6>Water transfers heat to ice.</font></b>,z,Thermodynamics,Heat transfer,TRUE,TRUE,TRUE,TRUE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,4460,html-keyboard-response,41,2.0.0,139183,p03mqyeeyqu,seal,<b><font size=6>Heat increases an object's temperature.</font></b>,z,Thermodynamics,Thermal expansion,TRUE,TRUE,TRUE,TRUE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,1252,html-keyboard-response,42,2.0.0,140937,p03mqyeeyqu,seal,<b><font size=6>Pressure produces heat.</font></b>,z,Thermodynamics,Heat source,FALSE,TRUE,TRUE,TRUE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,1581,html-keyboard-response,43,2.0.0,143020,p03mqyeeyqu,seal,<b><font size=6>Rain produces heat.</font></b>,m,Thermodynamics,Heat source,FALSE,FALSE,FALSE,TRUE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,2768,html-keyboard-response,44,2.0.0,146289,p03mqyeeyqu,seal,<b><font size=6>Two cups of ice have a lower temperature than one.</font></b>,z,Thermodynamics,Temperature,TRUE,FALSE,FALSE,FALSE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,1111,html-keyboard-response,45,2.0.0,147902,p03mqyeeyqu,seal,<b><font size=6>Atoms have heat.</font></b>,z,Thermodynamics,Heat,TRUE,FALSE,FALSE,FALSE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,3330,html-keyboard-response,46,2.0.0,151733,p03mqyeeyqu,seal,<b><font size=6>Cold objects transfer heat to even colder objects.</font></b>,m,Thermodynamics,Heat transfer,FALSE,TRUE,TRUE,FALSE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,NA,html-keyboard-response,47,2.0.0,153937,p03mqyeeyqu,seal,<p><font-size=6>All the following statements are in category:</font></p><b><font size=10><font color=blue>Physiology</font></b>,null,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,5433,html-keyboard-response,48,2.0.0,159872,p03mqyeeyqu,seal,<b><font size=6>Clouds can die.</font></b>,z,Physiology,Death,TRUE,FALSE,FALSE,FALSE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,932,html-keyboard-response,49,2.0.0,161306,p03mqyeeyqu,seal,<b><font size=6>Coral is alive.</font></b>,z,Physiology,Life,FALSE,TRUE,TRUE,TRUE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,1077,html-keyboard-response,50,2.0.0,162885,p03mqyeeyqu,seal,<b><font size=6>Mushrooms can die.</font></b>,z,Physiology,Death,FALSE,TRUE,TRUE,TRUE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,1352,html-keyboard-response,51,2.0.0,164739,p03mqyeeyqu,seal,<b><font size=6>Ferns can reproduce.</font></b>,z,Physiology,Reproduction,FALSE,TRUE,TRUE,TRUE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,767,html-keyboard-response,52,2.0.0,166007,p03mqyeeyqu,seal,<b><font size=6>Tigers can reproduce.</font></b>,z,Physiology,Reproduction,TRUE,TRUE,TRUE,TRUE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,1052,html-keyboard-response,53,2.0.0,167561,p03mqyeeyqu,seal,<b><font size=6>Turtles can die.</font></b>,z,Physiology,Death,TRUE,TRUE,TRUE,TRUE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,1396,html-keyboard-response,54,2.0.0,169459,p03mqyeeyqu,seal,<b><font size=6>Chairs can reproduce.</font></b>,m,Physiology,Reproduction,FALSE,FALSE,FALSE,TRUE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,1592,html-keyboard-response,55,2.0.0,171553,p03mqyeeyqu,seal,<b><font size=6>Plants turn food into energy.</font></b>,z,Physiology,Metabolism,TRUE,FALSE,FALSE,FALSE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,2074,html-keyboard-response,56,2.0.0,174129,p03mqyeeyqu,seal,<b><font size=6>A baby can be an uncle or an aunt.</font></b>,z,Physiology,Kinship,FALSE,TRUE,TRUE,TRUE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,3707,html-keyboard-response,57,2.0.0,178338,p03mqyeeyqu,seal,<b><font size=6>Bacteria turn food into energy.</font></b>,z,Physiology,Metabolism,FALSE,TRUE,TRUE,TRUE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,1047,html-keyboard-response,58,2.0.0,179887,p03mqyeeyqu,seal,<b><font size=6>Screwdrivers can die.</font></b>,m,Physiology,Death,FALSE,FALSE,FALSE,TRUE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,5110,html-keyboard-response,59,2.0.0,185498,p03mqyeeyqu,seal,<b><font size=6>Rocks turn food into energy.</font></b>,m,Physiology,Metabolism,FALSE,FALSE,FALSE,TRUE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,2192,html-keyboard-response,60,2.0.0,188191,p03mqyeeyqu,seal,<b><font size=6>A baby can be a mother or a father.</font></b>,m,Physiology,Kinship,FALSE,FALSE,FALSE,TRUE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,1388,html-keyboard-response,61,2.0.0,190081,p03mqyeeyqu,seal,<b><font size=6>People turn food into energy.</font></b>,z,Physiology,Metabolism,TRUE,TRUE,TRUE,TRUE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,683,html-keyboard-response,62,2.0.0,191266,p03mqyeeyqu,seal,<b><font size=6>The sun is alive.</font></b>,z,Physiology,Life,TRUE,FALSE,FALSE,FALSE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,837,html-keyboard-response,63,2.0.0,192605,p03mqyeeyqu,seal,<b><font size=6>Caterpillars can reproduce.</font></b>,z,Physiology,Reproduction,TRUE,FALSE,FALSE,FALSE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,1451,html-keyboard-response,64,2.0.0,194558,p03mqyeeyqu,seal,<b><font size=6>Rocks are alive.</font></b>,m,Physiology,Life,FALSE,FALSE,FALSE,TRUE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,1186,html-keyboard-response,65,2.0.0,196246,p03mqyeeyqu,seal,<b><font size=6>A baby can be a niece or a nephew.</font></b>,z,Physiology,Kinship,TRUE,TRUE,TRUE,TRUE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,2547,html-keyboard-response,66,2.0.0,199295,p03mqyeeyqu,seal,<b><font size=6>A baby can be identical to an older sibling.</font></b>,m,Physiology,Kinship,TRUE,FALSE,FALSE,TRUE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,2276,html-keyboard-response,67,2.0.0,202073,p03mqyeeyqu,seal,<b><font size=6>Fish are alive.</font></b>,z,Physiology,Life,TRUE,TRUE,TRUE,TRUE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,NA,html-keyboard-response,68,2.0.0,204276,p03mqyeeyqu,seal,<p><font-size=6>All the following statements are in category:</font></p><b><font size=10><font color=blue>Astronomy</font></b>,null,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,2768,html-keyboard-response,69,2.0.0,207546,p03mqyeeyqu,seal,<b><font size=6>The sun revolves around the earth.</font></b>,m,Astronomy,Solar system,TRUE,FALSE,FALSE,TRUE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,8064,html-keyboard-response,70,2.0.0,216112,p03mqyeeyqu,seal,<b><font size=6>Phases of the moon are caused by the earth's shadow.</font></b>,z,Astronomy,Lunar phase,TRUE,FALSE,FALSE,FALSE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,1373,html-keyboard-response,71,2.0.0,217987,p03mqyeeyqu,seal,<b><font size=6>Phases of the moon are caused by the moon's orbit.</font></b>,z,Astronomy,Lunar phase,FALSE,TRUE,TRUE,TRUE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,2339,html-keyboard-response,72,2.0.0,220827,p03mqyeeyqu,seal,<b><font size=6>Planets are more massive than moons.</font></b>,z,Astronomy,Planet,TRUE,TRUE,TRUE,TRUE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,2106,html-keyboard-response,73,2.0.0,223436,p03mqyeeyqu,seal,<b><font size=6>The sun produces sound.</font></b>,z,Astronomy,Star,FALSE,FALSE,FALSE,FALSE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,2978,html-keyboard-response,74,2.0.0,226916,p03mqyeeyqu,seal,<b><font size=6>The moon produces light.</font></b>,m,Astronomy,Star,TRUE,FALSE,FALSE,TRUE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,3621,html-keyboard-response,75,2.0.0,231039,p03mqyeeyqu,seal,<b><font size=6>Stars are more massive than planets.</font></b>,z,Astronomy,Planet,FALSE,TRUE,TRUE,TRUE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,2337,html-keyboard-response,76,2.0.0,233878,p03mqyeeyqu,seal,<b><font size=6>Phases of the moon are caused by changes in illumination.</font></b>,z,Astronomy,Lunar phase,TRUE,TRUE,TRUE,TRUE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,2608,html-keyboard-response,77,2.0.0,236987,p03mqyeeyqu,seal,<b><font size=6>The earth's rotation causes the seasons.</font></b>,z,Astronomy,Season,FALSE,FALSE,FALSE,FALSE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,2178,html-keyboard-response,78,2.0.0,239666,p03mqyeeyqu,seal,<b><font size=6>The sun revolves around the moon.</font></b>,m,Astronomy,Solar system,FALSE,FALSE,FALSE,TRUE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,2312,html-keyboard-response,79,2.0.0,242479,p03mqyeeyqu,seal,<b><font size=6>Planets are more massive than stars.</font></b>,z,Astronomy,Planet,TRUE,FALSE,FALSE,FALSE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,1869,html-keyboard-response,80,2.0.0,244850,p03mqyeeyqu,seal,<b><font size=6>A change in overall sunlight causes the seasons.</font></b>,z,Astronomy,Season,TRUE,TRUE,TRUE,TRUE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,1479,html-keyboard-response,81,2.0.0,246831,p03mqyeeyqu,seal,<b><font size=6>The earth revolves around the sun.</font></b>,z,Astronomy,Solar system,FALSE,TRUE,TRUE,TRUE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,1195,html-keyboard-response,82,2.0.0,248527,p03mqyeeyqu,seal,<b><font size=6>The sun produces light.</font></b>,z,Astronomy,Star,TRUE,TRUE,TRUE,TRUE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
